ID,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG2,xA3,xG+xA,npxG4,npxG+xA5
119,Javier Casas,us USA,MF,Chicago Fire,19-048,2003,2,0,14,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Julio Cascante,cr CRC,DF,Austin FC,28-271,1993,16,16,1440,16,1,2,1,0,0,3,0,0.06,0.12,0.19,0.06,0.19,2.2,2.2,0.4,2.6,0.14,0.03,0.16,0.14,0.16
121,Cristian Cásseres Jr.,ve VEN,MFFW,NY Red Bulls,22-162,2000,13,11,1000,11.1,1,0,1,0,0,5,0,0.09,0,0.09,0.09,0.09,2.1,2.1,1.8,3.9,0.18,0.17,0.35,0.18,0.35
122,Valentín Castellanos,ar ARG,FW,NYCFC,23-271,1998,13,13,1132,12.6,8,1,4,4,4,7,0,0.64,0.08,0.72,0.32,0.4,10.2,7.2,3.2,10.4,0.81,0.25,1.07,0.57,0.82
123,Lucas Cavallini,ca CAN,FW,Vancouver,29-185,1992,13,10,964,10.7,5,1,3,2,2,5,0,0.47,0.09,0.56,0.28,0.37,4.8,3.2,1.9,5.1,0.44,0.18,0.62,0.3,0.48
124,Roman Celentano,us USA,GK,FC Cincinnati,21-290,2000,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Darwin Cerén,sv SLV,MF,Houston Dynamo,32-182,1989,15,7,672,7.5,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.02,0.03,0.05,0.02,0.05
126,Edwin Cerrillo,us USA,MF,FC Dallas,21-271,2000,15,8,785,8.7,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.01,0.05,0.05,0.01,0.05
127,Maikel Chang,cu CUB,MFFW,Real Salt Lake,31-074,1991,17,13,993,11,1,4,1,0,0,0,0,0.09,0.36,0.45,0.09,0.45,1.7,1.7,2.1,3.8,0.15,0.19,0.34,0.15,0.34
128,Maxime Chanot,lu LUX,DF,NYCFC,32-222,1989,7,4,335,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03
