Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches,-9999
106,Scott Caldwell,us USA,MF,Real Salt Lake,31-109,1991,9.9,494,13,98,320,88,2,480,2,5,40.0,3,0,289,1130,431,17,3,0,6,9,315,303,96.2,13,Matches,4a54592d
107,Drake Callender,us USA,GK,Inter Miami,24-268,1997,8.0,298,283,298,0,0,0,217,0,0,,0,0,137,690,353,0,0,0,0,0,123,123,100.0,0,Matches,c4d9567d
108,Alexander Callens,pe PER,DF,NYCFC,30-059,1992,16.0,1171,186,741,434,71,19,1138,4,7,57.1,5,1,801,4329,2407,39,15,1,4,9,832,819,98.4,7,Matches,af34f10d
109,Francisco Calvo,cr CRC,DF,San Jose,29-359,1992,13.0,1090,119,604,534,51,18,1037,15,21,71.4,16,2,755,4866,3224,68,9,0,6,9,756,743,98.3,0,Matches,706bd23f
110,Rudy Camacho,fr FRA,DF,CF Montréal,31-119,1991,15.0,1098,172,640,498,32,9,1029,4,6,66.7,5,1,679,4313,2208,44,5,0,1,1,710,707,99.6,3,Matches,6ad16d47
111,Geoff Cameron,us USA,DF,FC Cincinnati,36-356,1985,9.7,425,78,229,197,18,9,416,2,3,66.7,2,0,200,1307,562,11,1,0,1,1,196,191,97.4,2,Matches,1a160ea3
112,Leonardo Campana,ec ECU,FW,Inter Miami,21-343,2000,11.9,381,19,35,193,169,57,361,5,15,33.3,5,1,222,785,243,18,8,4,33,15,526,291,55.3,64,Matches,bf9c0749
113,George Campbell,us USA,DF,Atlanta Utd,21-010,2001,10.9,752,90,405,366,31,8,732,5,9,55.6,6,1,491,2844,1542,30,4,0,3,5,503,492,97.8,4,Matches,45e1a597
114,Russell Canouse,us USA,MF,D.C. United,27-021,1995,9.5,398,19,84,228,106,17,384,2,7,28.6,2,0,235,1010,465,22,8,0,10,9,283,237,83.7,17,Matches,ec730d9a
115,Nathan Cardoso,br BRA,DF,San Jose,27-050,1995,8.2,640,74,374,296,19,8,625,8,16,50.0,9,0,421,2456,1319,26,5,0,4,2,430,427,99.3,1,Matches,d4438745
116,Antonio Carlos,br BRA,DF,Orlando City,29-117,1993,5.7,350,81,215,146,15,8,327,0,1,0.0,0,0,185,1328,755,11,1,0,1,1,220,214,97.3,1,Matches,949fe1e8
117,Julián Carranza,ar ARG,FW,Philadelphia,22-041,2000,11.2,429,17,46,182,223,53,416,8,16,50.0,10,1,254,1038,489,28,8,5,38,16,483,299,61.9,85,Matches,3e9ae1db
