Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
673,Griffin Yow,us USA,MFFW,D.C. United,19-279,2002,3.0,0,5,1,20.0,1.66,0.33,0.00,0.00,15.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,ddd5cf39
674,Jackson Yueill,us USA,MFDF,San Jose,25-104,1997,13.7,3,8,3,37.5,0.58,0.22,0.38,1.00,18.1,0,0,0,1.2,1.2,0.15,+1.8,+1.8,Matches,7dce16bf
675,Gyasi Zardes,us USA,FW,Colorado Rapids,30-302,1991,6.4,1,8,1,12.5,1.25,0.16,0.00,0.00,11.0,0,1,1,2.4,1.6,0.20,-1.4,-1.6,Matches,09ae7f92
676,Gyasi Zardes,us USA,FW,Columbus Crew,30-302,1991,2.3,1,6,2,33.3,2.62,0.87,0.17,0.50,11.0,0,0,0,2.2,2.2,0.36,-1.2,-1.2,Matches,09ae7f92
677,Eriq Zavaleta,sv SLV,DF,LA Galaxy,29-333,1992,0.7,0,1,0,0.0,1.50,0.00,0.00,,27.2,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,edbfbb3f
678,Sean Zawadzki,us USA,MF,Columbus Crew,22-071,2000,1.7,1,1,1,100.0,0.58,0.58,1.00,1.00,23.0,0,0,0,0.1,0.1,0.05,+0.9,+0.9,Matches,380ee265
679,Zeca,br BRA,DF,Houston Dynamo,28-046,1994,8.6,0,4,1,25.0,0.47,0.12,0.00,0.00,22.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,c816eea6
680,Gedion Zelalem,us USA,MF,NYCFC,25-156,1997,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b15ac68f
681,Lucas Zelarayán,am ARM,MFFW,Columbus Crew,30-011,1992,10.3,4,29,8,27.6,2.82,0.78,0.14,0.50,22.1,8,0,0,2.0,2.0,0.07,+2.0,+2.0,Matches,3ce30893
682,Walker Zimmerman,us USA,DF,Nashville,29-043,1993,13.5,1,14,5,35.7,1.04,0.37,0.07,0.20,9.4,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches,220fa883
683,Rida Zouhir,ca CAN,MF,CF Montréal,18-220,2003,1.3,0,4,0,0.0,3.16,0.00,0.00,,28.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,e1e65f24
684,Ethan Zubak,us USA,FW,Nashville,24-077,1998,1.2,0,3,2,66.7,2.48,1.65,0.00,0.00,9.0,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,9f39b6cf
685,Dario Župarić,ba BIH,DF,Portland Timbers,30-059,1992,10.4,0,4,0,0.0,0.38,0.00,0.00,,13.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,c6f99e42
686,Graham Zusi,us USA,DF,Sporting KC,35-317,1986,12.0,1,6,3,50.0,0.50,0.25,0.17,0.33,24.9,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches,9ba42447
687,Róbert Þorkelsson,is ISL,DFMF,CF Montréal,20-089,2002,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0eb8ad80
